city,country_iso3,income_group,area_id,heat_sensitivity_source,humid_heat_proxy_method,facility_type,n_facilities,tmax_abs35_share_20d,tmax_local_p90_share_20d,tmax_local_p95_share_20d,apparent_abs35_share_20d,apparent_local_p90_share_20d,apparent_local_p95_share_20d,mean_tmax_baseline_p95_c,mean_apparent_baseline_p95_c,mean_apparent_minus_tmax_abs35_days
Houston,USA,High income,houston,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,18210,0.8721581548599671,1.0,0.0,1.0,1.0,0.0,38.52375035694673,59.12022070671967,134.07814387699065
Houston,USA,High income,houston,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,5477,0.8721928062808106,1.0,0.0,1.0,1.0,0.0,38.56867774329012,59.16314161472714,132.54318057330656
Shanghai,CHN,Upper-middle income,shanghai,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,341,0.0,1.0,0.3284457478005865,1.0,1.0,0.40175953079178883,33.2469120234604,49.04580747044422,114.67448680351906
Shanghai,CHN,Upper-middle income,shanghai,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,305,0.0,1.0,0.3770491803278688,1.0,1.0,0.4557377049180328,33.0841737704918,48.60003998631758,112.8327868852459
Kolkata,IND,Lower-middle income,kolkata,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,8410,1.0,1.0,0.0,1.0,1.0,0.03745541022592152,40.11649928656361,62.038566318946906,185.81367419738407
Kolkata,IND,Lower-middle income,kolkata,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,7065,1.0,1.0,0.0,1.0,1.0,0.04203821656050955,40.127434394904455,62.02581192742472,185.86341118188253
Bangkok,THA,Upper-middle income,bangkok,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,17751,1.0,1.0,0.0,1.0,1.0,0.0,39.32834831840459,59.057965722736874,254.4749591572306
Bangkok,THA,Upper-middle income,bangkok,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,8528,1.0,1.0,0.0,1.0,1.0,0.0,39.26445778611632,58.87112985064766,254.82293621013133
Manila,PHL,Lower-middle income,manila,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,18365,0.036536890824938745,1.0,0.1569833923223523,1.0,1.0,0.1569833923223523,33.77222395861693,48.53682282540107,247.63947726653961
Manila,PHL,Lower-middle income,manila,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,10302,0.042030673655600856,1.0,0.18724519510774607,1.0,1.0,0.18724519510774607,33.78510997864492,48.48708601379122,247.6504562220928
Ho Chi Minh City,VNM,Lower-middle income,ho_chi_minh,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,9935,1.0,1.0,0.0,1.0,1.0,1.0,39.57937805737292,59.27506920777719,254.28646200301964
Ho Chi Minh City,VNM,Lower-middle income,ho_chi_minh,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,10476,1.0,1.0,0.0,1.0,1.0,1.0,39.56074541809851,59.236001575076145,254.4843451699122
Delhi,IND,Lower-middle income,delhi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,19986,1.0,1.0,0.0,1.0,1.0,0.0,43.53305353747623,55.21188286081397,85.47278094666267
Delhi,IND,Lower-middle income,delhi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,14319,1.0,1.0,0.0,1.0,1.0,0.0,43.52181765486416,55.19635975850807,85.57992876597528
Karachi,PAK,Lower-middle income,karachi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,1769,0.8745053702656869,1.0,0.8745053702656869,1.0,1.0,0.8745053702656869,35.5951927642736,52.83633590254822,177.4143583945732
Karachi,PAK,Lower-middle income,karachi,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,2572,0.9350699844479005,1.0,0.9350699844479005,1.0,1.0,0.9350699844479005,36.08600933125972,53.96587349738294,174.87363919129083
Cairo,EGY,Lower-middle income,cairo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,13119,1.0,1.0,0.02058083695403613,1.0,1.0,0.0,40.59221800442106,51.134331822109225,44.16441801966613
Cairo,EGY,Lower-middle income,cairo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,4793,1.0,1.0,0.021281034842478615,1.0,1.0,0.0,40.60857250156478,51.19110811051578,44.310661381180886
Istanbul,TUR,Upper-middle income,istanbul,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,17477,0.0,1.0,0.9897007495565601,0.9894718773244836,1.0,0.00022887223207644332,30.654158379584597,36.15269979783622,23.001773759798592
Istanbul,TUR,Upper-middle income,istanbul,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,12292,0.0,1.0,0.9775463716238204,0.976488773185812,1.0,0.0010575984380084608,30.562547754637162,36.06598121106935,22.26374877969411
London,GBR,High income,london,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,16129,0.0,1.0,1.0,0.0,1.0,1.0,25.443268336536658,25.443268336536658,2.915493830987662
London,GBR,High income,london,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,12093,0.0,1.0,1.0,0.0,1.0,1.0,25.438604068469346,25.438604068469346,2.8805093855949724
Paris,FRA,High income,paris,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,8426,0.0,1.0,1.0,0.0,1.0,1.0,28.36273439354379,30.774202669521095,8.217896985521007
Paris,FRA,High income,paris,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,7355,0.0,1.0,1.0,0.0,1.0,1.0,28.365061318830726,30.775129052271872,8.222569680489462
Madrid,ESP,High income,madrid,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,8573,1.0,1.0,1.0,1.0,1.0,1.0,37.017,38.47261475797018,11.0
Madrid,ESP,High income,madrid,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,4763,1.0,1.0,1.0,1.0,1.0,1.0,37.017,38.47261475797018,11.0
Rome,ITA,High income,rome,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,6181,0.8417731758615111,1.0,0.0,0.8417731758615111,1.0,0.8417731758615111,35.0222080569487,40.700865668732575,36.044329396537776
Rome,ITA,High income,rome,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,2986,0.8081044876088412,1.0,0.0,0.8081044876088412,1.0,0.8081044876088412,34.8405318151373,40.47570368260469,35.20261219022103
New York City,USA,High income,new_york,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,36487,0.0,1.0,0.9293446981116562,0.2679858579768137,1.0,0.19733055608846986,28.69990210211856,33.79421464646256,17.456025433716118
New York City,USA,High income,new_york,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,11968,0.0,1.0,0.9064171122994652,0.32637032085561496,1.0,0.23278743315508021,28.909309575534756,34.29633829596423,19.118566176470587
Los Angeles,USA,High income,los_angeles,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,24749,0.0005252737484342802,1.0,0.0,0.0005252737484342802,0.9994747262515657,0.0,30.78762426764717,32.199887352664305,4.302598084771102
Los Angeles,USA,High income,los_angeles,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,7249,0.00013795006207752792,1.0,0.0,0.00013795006207752792,0.9998620499379225,0.0,31.356280728376323,32.7855845807676,5.440612498275624
Miami,USA,High income,miami,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,9433,0.0,1.0,1.0,1.0,1.0,0.3536520725113962,31.45801250927595,40.82341594031266,137.39086186791053
Miami,USA,High income,miami,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,2377,0.0,1.0,1.0,1.0,1.0,0.38073201514514093,31.430586874211194,40.73188031770213,136.43962978544383
Buenos Aires,ARG,Upper-middle income,buenos_aires,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,8455,0.9370786516853933,1.0,0.06292134831460675,1.0,1.0,1.0,35.98649698403311,44.51673402204119,51.91046717918392
Buenos Aires,ARG,Upper-middle income,buenos_aires,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,7461,0.9252110977080821,1.0,0.07478890229191798,1.0,1.0,1.0,35.9477831389894,44.50109884751972,51.73019702452754
Lima,PER,Upper-middle income,lima,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,11872,0.0,0.0,0.0,0.0,0.0,0.0,25.23360579514825,25.23360579514825,0.0
Lima,PER,Upper-middle income,lima,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,9155,0.0,0.0,0.0,0.0,0.0,0.0,25.172923757509558,25.172923757509558,0.0
Bogota,COL,Upper-middle income,bogota,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,6016,0.0,0.0,0.0,0.0,0.0,0.0,22.624595910904258,22.741749643042965,0.0
Bogota,COL,Upper-middle income,bogota,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,4156,0.0,0.0,0.0,0.0,0.0,0.0,22.935127285851785,23.16021339676789,0.0
Johannesburg,ZAF,Unknown,johannesburg,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,4529,0.0,0.8968867299624641,0.0,0.0,1.0,0.0,33.26256723338485,35.32132900894439,13.21969529697505
Johannesburg,ZAF,Unknown,johannesburg,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,9580,0.0,0.8092901878914405,0.0,0.0,1.0,0.0,33.37051075156576,35.361162605169,13.457933194154489
Accra,GHA,Lower-middle income,accra,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,650,0.0,0.25846153846153846,0.0,1.0,1.0,0.0,31.296452307692306,41.93156133984889,190.82153846153847
Accra,GHA,Lower-middle income,accra,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,1093,0.0,0.322964318389753,0.0,1.0,1.0,0.0,31.343732845379687,42.107553509966245,193.27264409881062
Tokyo,JPN,High income,tokyo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,health,38519,0.05319452737610011,1.0,1.0,1.0,1.0,1.0,32.216131337781356,46.023515157201146,80.59331758353021
Tokyo,JPN,High income,tokyo,NASA POWER,NOAA_heat_index_from_POWER_T2M_MAX_and_RH2M,school,15256,0.056174619821709494,1.0,1.0,1.0,1.0,1.0,32.21222666491872,46.00336387777872,80.39230466701626
